Accommodation name,Property ID,Date,Day,Price per night without tax,Year,Month,Day of the Week,Weekend
Test home 1,123456,2022-04-22,4,243.0,2022,4,Friday,False
Test home 1,123456,2022-04-23,5,224.0,2022,4,Saturday,True
Test home 1,123456,2022-04-24,6,185.0,2022,4,Sunday,True
Test home 1,123456,2022-04-25,0,166.0,2022,4,Monday,False
Test home 1,123456,2022-04-26,1,170.0,2022,4,Tuesday,False
Test home 1,123456,2022-04-27,2,170.0,2022,4,Wednesday,False
Test home 1,123456,2022-04-28,3,177.0,2022,4,Thursday,False
Test home 1,123456,2022-04-29,4,249.0,2022,4,Friday,False
Test home 1,123456,2022-04-30,5,222.0,2022,4,Saturday,True
Test home 1,123456,2022-05-01,6,158.0,2022,5,Sunday,True
Test home 1,123456,2022-05-02,0,136.0,2022,5,Monday,False
Test home 1,123456,2022-05-03,1,122.0,2022,5,Tuesday,False
Test home 1,123456,2022-05-04,2,124.0,2022,5,Wednesday,False
Test home 1,123456,2022-05-05,3,177.0,2022,5,Thursday,False
Test home 1,123456,2022-05-06,4,172.0,2022,5,Friday,False
Test home 1,123456,2022-05-07,5,249.0,2022,5,Saturday,True
Test home 1,123456,2022-05-08,6,249.0,2022,5,Sunday,True
Test home 1,123456,2022-05-09,0,223.0,2022,5,Monday,False
Test home 1,123456,2022-05-10,1,271.0,2022,5,Tuesday,False
Test home 1,123456,2022-05-11,2,328.0,2022,5,Wednesday,False
Test home 1,123456,2022-05-12,3,238.0,2022,5,Thursday,False
Test home 1,123456,2022-05-13,4,190.0,2022,5,Friday,False
Test home 1,123456,2022-05-14,5,285.0,2022,5,Saturday,True
Test home 1,123456,2022-05-15,6,148.0,2022,5,Sunday,True
Test home 1,123456,2022-05-16,0,88.0,2022,5,Monday,False
Test home 1,123456,2022-05-17,1,90.0,2022,5,Tuesday,False
Test home 1,123456,2022-05-18,2,114.0,2022,5,Wednesday,False
Test home 1,123456,2022-05-19,3,158.0,2022,5,Thursday,False
Test home 1,123456,2022-05-22,6,154.0,2022,5,Sunday,True
Test home 1,123456,2022-05-23,0,163.0,2022,5,Monday,False
Test home 1,123456,2022-05-24,1,131.0,2022,5,Tuesday,False
Test home 1,123456,2022-05-25,2,138.0,2022,5,Wednesday,False
Test home 1,123456,2022-05-26,3,292.0,2022,5,Thursday,False
Test home 1,123456,2022-05-27,4,459.0,2022,5,Friday,False
Test home 1,123456,2022-05-28,5,436.0,2022,5,Saturday,True
Test home 1,123456,2022-05-29,6,94.0,2022,5,Sunday,True
Test home 1,123456,2022-05-30,0,91.0,2022,5,Monday,False
Test home 1,123456,2022-05-31,1,93.0,2022,5,Tuesday,False
Test home 1,123456,2022-06-01,2,167.0,2022,6,Wednesday,False
Test home 1,123456,2022-06-02,3,224.0,2022,6,Thursday,False
Test home 1,123456,2022-06-03,4,287.0,2022,6,Friday,False
Test home 1,123456,2022-06-04,5,560.0,2022,6,Saturday,True
Test home 1,123456,2022-06-05,6,192.0,2022,6,Sunday,True
Test home 1,123456,2022-06-06,0,159.0,2022,6,Monday,False
Test home 1,123456,2022-06-07,1,190.0,2022,6,Tuesday,False
Test home 1,123456,2022-06-08,2,191.0,2022,6,Wednesday,False
Test home 1,123456,2022-06-09,3,377.0,2022,6,Thursday,False
Test home 1,123456,2022-06-10,4,375.0,2022,6,Friday,False
Test home 1,123456,2022-06-11,5,376.0,2022,6,Saturday,True
Test home 1,123456,2022-06-12,6,156.0,2022,6,Sunday,True
Test home 1,123456,2022-06-13,0,122.0,2022,6,Monday,False
Test home 1,123456,2022-06-14,1,118.0,2022,6,Tuesday,False
Test home 1,123456,2022-06-15,2,118.0,2022,6,Wednesday,False
Test home 1,123456,2022-06-16,3,116.0,2022,6,Thursday,False
Test home 1,123456,2022-06-17,4,262.0,2022,6,Friday,False
Test home 1,123456,2022-06-18,5,179.0,2022,6,Saturday,True
Test home 1,123456,2022-06-19,6,129.0,2022,6,Sunday,True
Test home 1,123456,2022-06-20,0,118.0,2022,6,Monday,False
Test home 1,123456,2022-06-21,1,101.0,2022,6,Tuesday,False
Test home 1,123456,2022-06-22,2,96.0,2022,6,Wednesday,False
Test home 1,123456,2022-06-23,3,102.0,2022,6,Thursday,False
Test home 1,123456,2022-06-24,4,200.0,2022,6,Friday,False
Test home 1,123456,2022-06-25,5,226.0,2022,6,Saturday,True
Test home 1,123456,2022-06-26,6,129.0,2022,6,Sunday,True
Test home 1,123456,2022-06-27,0,104.0,2022,6,Monday,False
Test home 1,123456,2022-06-28,1,112.0,2022,6,Tuesday,False
Test home 1,123456,2022-06-29,2,115.0,2022,6,Wednesday,False
Test home 1,123456,2022-06-30,3,161.0,2022,6,Thursday,False
Test home 1,123456,2022-07-01,4,257.0,2022,7,Friday,False
Test home 1,123456,2022-07-02,5,256.0,2022,7,Saturday,True
Test home 1,123456,2022-07-03,6,152.0,2022,7,Sunday,True
Test home 1,123456,2022-07-04,0,147.0,2022,7,Monday,False
Test home 1,123456,2022-07-05,1,150.0,2022,7,Tuesday,False
Test home 1,123456,2022-07-06,2,148.0,2022,7,Wednesday,False
Test home 1,123456,2022-07-07,3,245.0,2022,7,Thursday,False
Test home 1,123456,2022-07-08,4,261.0,2022,7,Friday,False
Test home 1,123456,2022-07-09,5,206.0,2022,7,Saturday,True
Test home 1,123456,2022-07-10,6,146.0,2022,7,Sunday,True
Test home 1,123456,2022-07-11,0,149.0,2022,7,Monday,False
Test home 1,123456,2022-07-12,1,138.0,2022,7,Tuesday,False
Test home 1,123456,2022-07-13,2,160.0,2022,7,Wednesday,False
Test home 1,123456,2022-07-14,3,186.0,2022,7,Thursday,False
Test home 1,123456,2022-07-15,4,228.0,2022,7,Friday,False
Test home 1,123456,2022-07-16,5,195.0,2022,7,Saturday,True
Test home 1,123456,2022-07-17,6,135.0,2022,7,Sunday,True
Test home 1,123456,2022-07-18,0,129.0,2022,7,Monday,False
Test home 1,123456,2022-07-19,1,130.0,2022,7,Tuesday,False
Test home 1,123456,2022-07-20,2,137.0,2022,7,Wednesday,False
Test home 1,123456,2022-07-21,3,194.0,2022,7,Thursday,False
Test home 1,123456,2022-07-22,4,300.0,2022,7,Friday,False
Test home 1,123456,2022-07-23,5,228.0,2022,7,Saturday,True
Test home 1,123456,2022-07-24,6,174.0,2022,7,Sunday,True
Test home 1,123456,2022-07-25,0,166.0,2022,7,Monday,False
Test home 1,123456,2022-07-26,1,158.0,2022,7,Tuesday,False
Test home 1,123456,2022-07-27,2,152.0,2022,7,Wednesday,False
Test home 1,123456,2022-07-28,3,168.0,2022,7,Thursday,False
Test home 1,123456,2022-07-29,4,206.0,2022,7,Friday,False
Test home 1,123456,2022-07-30,5,220.0,2022,7,Saturday,True
Test home 1,123456,2022-07-31,6,228.0,2022,7,Sunday,True
Test home 1,123456,2022-08-01,0,182.0,2022,8,Monday,False
Test home 1,123456,2022-08-02,1,177.0,2022,8,Tuesday,False
Test home 1,123456,2022-08-03,2,167.0,2022,8,Wednesday,False
Test home 1,123456,2022-08-04,3,161.0,2022,8,Thursday,False
Test home 1,123456,2022-08-05,4,167.0,2022,8,Friday,False
