Booking number,Booking Date,Status,Check-in date,Check-out date,nights,Price per night without tax,Rent with VAT on top,Rent without VAT,Extras with VAT on top,Extras without VAT,Booking total with tax,Booking total without tax,Total tax,Paid,Adults,Children,Babies,Accommodation name,Property ID,Building,City,Portal / Agent,Website of origin,Booking window,Check-in Month,Season,Check-in Day,Weekend
TEST73,2023-10-30,Confirmed,2023-11-08,2023-11-10,2.0,177.21,354.42,354.42,65.0,65.0,427.42,419.42,8.0,427.42,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,9,11,Medium,Wednesday,False
TEST74,2023-10-20,Confirmed,2023-10-21,2023-10-23,2.0,310.46,620.92,620.92,65.0,65.0,687.92,685.92,2.0,687.92,1,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,1,10,High,Saturday,True
TEST75,2023-10-17,Confirmed,2023-10-17,2023-10-18,1.0,125.0,125.0,125.0,120.0,120.0,248.0,245.0,3.0,248.0,3,2,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,0,10,High,Tuesday,False
TEST77,2023-10-04,Confirmed,2023-10-26,2023-11-02,7.0,317.93,2225.52,2225.52,65.0,65.0,2318.52,2290.52,28.0,2318.52,4,2,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,22,10,High,Thursday,False
TEST78,2023-10-02,Confirmed,2023-10-06,2023-10-08,2.0,234.14,468.27,468.27,65.0,65.0,541.27,533.27,8.0,533.27,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,4,10,High,Friday,False
TEST79,2023-09-27,Confirmed,2023-10-11,2023-10-15,4.0,266.31,1065.24,1065.24,65.0,65.0,1146.24,1130.24,16.0,1146.24,4,3,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,14,10,High,Wednesday,False
TEST80,2023-09-20,Confirmed,2023-09-26,2023-10-06,10.0,235.41,2354.1,2354.1,65.0,65.0,2454.1,2419.1,35.0,2419.1,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homes & Villas by Marriott International,homes-and-villas.marriott.com,6,9,High,Tuesday,False
TEST81,2023-09-11,Confirmed,2023-09-15,2023-09-17,2.0,211.86,423.72,423.72,65.0,65.0,500.72,488.72,12.0,500.72,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,4,9,High,Friday,False
TEST82,2023-09-03,Confirmed,2023-09-19,2023-09-24,5.0,192.46,962.28,962.28,65.0,65.0,1057.28,1027.28,30.0,1057.28,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,16,9,High,Tuesday,False
TEST83,2023-08-28,Confirmed,2023-08-28,2023-08-29,1.0,124.74,124.74,124.74,65.0,65.0,195.74,189.74,6.0,195.74,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,8,High,Monday,False
TEST84,2023-08-19,Confirmed,2023-10-18,2023-10-21,3.0,266.0,798.0,798.0,65.0,65.0,875.0,863.0,12.0,863.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homes & Villas by Marriott International,homes-and-villas.marriott.com,60,10,High,Wednesday,False
TEST85,2023-08-16,Confirmed,2023-08-30,2023-09-04,5.0,223.15,1115.73,1115.73,121.0,121.0,1261.73,1236.73,25.0,1261.73,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,14,8,High,Wednesday,False
TEST86,2023-08-13,Confirmed,2023-08-16,2023-08-19,3.0,235.67,707.0,707.0,65.0,65.0,784.0,772.0,12.0,776.93,4,2,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,3,8,High,Wednesday,False
TEST87,2023-08-12,Confirmed,2023-08-13,2023-08-16,3.0,258.39,775.17,775.17,65.0,65.0,861.17,840.17,21.0,861.17,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,8,High,Sunday,True
TEST88,2023-08-01,Confirmed,2023-08-01,2023-08-02,1.0,113.85,113.85,113.85,65.0,65.0,183.85,178.85,5.0,183.85,5,1,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,8,High,Tuesday,False
TEST89,2023-07-31,Confirmed,2023-08-05,2023-08-10,5.0,220.32,1101.6,1101.6,65.0,65.0,1186.6,1166.6,20.0,1186.6,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,5,8,High,Saturday,True
TEST90,2023-07-31,Confirmed,2023-07-31,2023-08-01,1.0,95.0,95.0,95.0,65.0,65.0,164.0,160.0,4.0,164.0,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,7,Medium,Monday,False
TEST91,2023-07-22,Confirmed,2023-09-07,2023-09-13,6.0,260.29,1561.73,1561.73,65.0,65.0,1668.73,1626.73,42.0,1668.73,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,47,9,High,Thursday,False
TEST92,2023-07-21,Confirmed,2023-07-22,2023-07-26,4.0,232.5,930.0,930.0,65.0,65.0,1011.0,995.0,16.0,995.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,1,7,Medium,Saturday,True
